LocationName,DiabetesRate,FoodAccessScore,State,County,Pop2010,Urban,MedianFamilyIncome,TractSeniorsRate,TractWhiteRate,TractBlackRate,TractAsianRate,TractNHOPIRate,TractAIANRate,TractHispanicRate,PovertyRatePerc,GroupQuarters
12071040209,0.11599999999999999,0,Florida,Lee County,2383,0,65089.0,0.10323122114981116,0.8224926563155686,0.11330255979857323,0.006714225765841376,0.001258917331095258,0.004616030214015947,0.19639110365086027,0.109,0.0
12071050209,0.092,2,Florida,Lee County,8039,1,76667.0,0.07525811668117925,0.8646597835551686,0.029978853091180493,0.013185719616867769,0.0006219679064560268,0.00323423311357134,0.23448190073392214,0.168,0.0
12071070200,0.166,0,Florida,Lee County,3749,0,62600.0,0.46892504667911444,0.9815950920245399,0.002667377967457989,0.002667377967457989,0.0,0.0013336889837289945,0.02107228594291811,0.125,0.0
12073002005,0.028999999999999998,1,Florida,Leon County,3326,1,21422.0,0.0036079374624173183,0.7375225496091401,0.16626578472639808,0.05021046301864101,0.0009019843656043296,0.0027059530968129887,0.12627781118460613,0.696,0.0764
23005004802,0.067,0,Maine,Cumberland County,4673,0,89241.0,0.09265996148084742,0.9685426920607747,0.005991868178900064,0.005135887010485769,0.00042799058420714745,0.0021399529210357373,0.007703830515728654,0.077,0.0045000000000000005
22103041002,0.11199999999999999,2,Louisiana,St. Tammany Parish,2810,1,72731.0,0.21423487544483985,0.9138790035587189,0.05658362989323843,0.006761565836298933,0.00035587188612099647,0.0028469750889679717,0.03701067615658363,0.079,0.0391
22117950700,0.151,2,Louisiana,Washington Parish,5187,1,26458.0,0.16946211683053788,0.7129361866203971,0.2498554077501446,0.004819741661846925,0.0,0.001156737998843262,0.029111239637555426,0.419,0.023700000000000002
12086009804,0.12,1,Florida,Miami-Dade County,3402,1,70313.0,0.10758377425044091,0.4432686654908877,0.4644326866549089,0.023515579071134628,0.00029394473838918284,0.0026455026455026454,0.2774838330393886,0.10099999999999999,0.0
23001020700,0.109,2,Maine,Androscoggin County,4891,1,67113.0,0.22674299734205683,0.9597219382539358,0.009609486812512778,0.01001840114496013,0.00020445716622367614,0.0028624003271314658,0.009405029646289103,0.098,0.0096
23021960301,0.134,0,Maine,Piscataquis County,1758,0,65781.0,0.2440273037542662,0.9812286689419796,0.0,0.002844141069397042,0.0,0.003981797497155859,0.004550625711035267,0.145,0.0137
22099020900,0.129,0,Louisiana,St. Martin Parish,1923,0,95844.0,0.1372854914196568,0.49817992719708787,0.47321892875715027,0.003640145605824233,0.0,0.0031201248049922,0.019760790431617263,0.127,0.0946
12095012100,0.159,1,Florida,Orange County,5488,1,40436.0,0.09092565597667639,0.1989795918367347,0.6827623906705539,0.025510204081632654,0.0,0.0052842565597667635,0.14723032069970846,0.265,0.0
12095012305,0.151,2,Florida,Orange County,6806,1,38154.0,0.08228034087569791,0.2295033793711431,0.5725830149867763,0.05583308845136644,0.000881575080811049,0.002791654422568322,0.21863062004114017,0.249,0.0
23019000700,0.083,2,Maine,Penobscot County,3003,1,74645.0,0.1302031302031302,0.955044955044955,0.012321012321012322,0.006993006993006993,0.0,0.00999000999000999,0.011988011988011988,0.092,0.0596
23031006102,0.106,2,Maine,York County,3334,1,58606.0,0.1880623875224955,0.9583083383323335,0.01229754049190162,0.0065986802639472104,0.00029994001199760045,0.006898620275944811,0.019496100779844032,0.12,0.0108
12105010402,0.067,2,Florida,Polk County,4158,1,48420.0,0.07768157768157768,0.8506493506493507,0.08513708513708514,0.012025012025012025,0.0002405002405002405,0.0026455026455026454,0.09547859547859548,0.096,0.2852
12105013001,0.105,2,Florida,Polk County,2961,1,77533.0,0.11178655859506924,0.7784532252617359,0.1661600810536981,0.0121580547112462,0.0,0.002364066193853428,0.1060452549814252,0.049,0.0
13067030231,0.09,2,Georgia,Cobb County,7688,1,110026.0,0.12513007284079083,0.8815036420395421,0.06568678459937564,0.025754422476586887,0.0003902185223725286,0.0011706555671175858,0.03030697190426639,0.02,0.0004
13067031310,0.126,2,Georgia,Cobb County,6301,1,33250.0,0.03126487859069989,0.13029677828916045,0.6673543881923504,0.007459133470877639,0.0,0.005237263926360895,0.2805903824789716,0.257,0.0006
23007971200,0.08,2,Maine,Franklin County,7760,1,58081.0,0.15451030927835052,0.9689432989690722,0.002577319587628866,0.0034793814432989693,0.0007731958762886598,0.004123711340206186,0.01288659793814433,0.152,0.1414
13121000100,0.057999999999999996,1,Georgia,Fulton County,4413,1,210139.0,0.067754362111942,0.9268071606616815,0.02605937004305461,0.020847496034443688,0.00022660321776569228,0.0013596193065941536,0.03376387944708815,0.038,0.0
23003952700,0.127,0,Maine,Aroostook County,2561,0,49844.0,0.19250292854353768,0.9746192893401016,0.0031237797735259665,0.0003904724716907458,0.0,0.012885591565794611,0.008199921905505662,0.163,0.0043
13121010205,0.08199999999999999,1,Georgia,Fulton County,4907,1,140288.0,0.1642551457102099,0.8385979213368657,0.059099245975137556,0.04524149174648461,0.0004075810067250866,0.002649276543713063,0.09027919298960668,0.057,0.0
13131950400,0.14800000000000002,0,Georgia,Grady County,6491,0,49234.0,0.11215529194268987,0.6442766908026498,0.23093514096441226,0.005238021876444308,0.0016946541364966877,0.009089508550300416,0.17146818672007394,0.252,0.0174
13139000201,0.107,0,Georgia,Hall County,5942,0,65625.0,0.12100302928306968,0.8857287108717603,0.007741501178054527,0.00286098956580276,0.0001682935038707506,0.0035341635812857625,0.15146415348367553,0.172,0.0
13277960400,0.138,2,Georgia,Tift County,6398,1,44635.0,0.16255079712410128,0.6176930290715849,0.25101594248202563,0.019068458893404187,0.0,0.002031884964051266,0.12832135042200687,0.272,0.0161
22107000100,0.19399999999999998,3,Louisiana,Tensas Parish,1859,0,35707.0,0.20387305002689618,0.5207100591715976,0.4669176976869285,0.0005379236148466917,0.0,0.0005379236148466917,0.013448090371167294,0.409,0.0
15003007000,0.022000000000000002,1,Hawaii,Honolulu County,4041,1,60160.0,0.003711952487008166,0.5904479089334324,0.1168027715911903,0.08314773570898293,0.01855976243504083,0.010640930462756744,0.157881712447414,0.08,0.0
15007040700,0.107,0,Hawaii,Kauai County,8403,0,96094.0,0.15018445793169105,0.34832797810305843,0.003332143282161133,0.33595144591217424,0.04760204688801618,0.004284184219921457,0.1097227180768773,0.076,0.0
23019006100,0.077,1,Maine,Penobscot County,2720,1,72375.0,0.09816176470588235,0.9430147058823529,0.009926470588235294,0.015441176470588236,0.0003676470588235294,0.01213235294117647,0.013970588235294118,0.47700000000000004,0.0055000000000000005
16001002410,0.09699999999999999,2,Idaho,Ada County,7051,1,84167.0,0.16777762019571693,0.9377393277549284,0.00893490285065948,0.01205502765565168,0.00028364770954474543,0.0038292440788540633,0.04595092894624876,0.059000000000000004,0.0069
16001002413,0.086,2,Idaho,Ada County,8245,1,69454.0,0.09884778653729533,0.9079442086112796,0.01212856276531231,0.02922983626440267,0.0018192844147968466,0.005457853244390539,0.05676167374166161,0.126,0.0036
16011950700,0.099,3,Idaho,Bingham County,4823,0,68750.0,0.10284055567074435,0.8552767986730251,0.003939456769645449,0.006012855069458843,0.00020733982998133942,0.009744972009122952,0.16317644619531413,0.10800000000000001,0.0
16017950800,0.113,3,Idaho,Bonner County,5763,0,65655.0,0.16501821967725144,0.9672045809474232,0.0015616866215512754,0.0027763317716467117,0.0015616866215512754,0.006420267221933021,0.018219677251431546,0.127,0.0
16027021904,0.133,0,Idaho,Canyon County,3949,0,47875.0,0.09723980754621424,0.7485439351734616,0.002025829323879463,0.002279057989364396,0.0,0.01570017726006584,0.37908331223094455,0.258,0.0
17007010300,0.115,1,Illinois,Boone County,6631,1,61742.0,0.14944955511989141,0.797617252299804,0.025184738350173427,0.006786306741064696,0.0,0.004675011310511235,0.30659025787965616,0.156,0.006
17031160700,0.09,0,Illinois,Cook County,5893,1,96875.0,0.11878499915153572,0.5686407602239946,0.03614457831325301,0.096894620736467,0.0013575428474461226,0.00576955710164602,0.49787883930086546,0.146,0.0278
17031190900,0.132,0,Illinois,Cook County,2040,1,62500.0,0.11813725490196078,0.4857843137254902,0.03823529411764706,0.02107843137254902,0.0004901960784313725,0.00784313725490196,0.8220588235294117,0.20600000000000002,0.0
17031230800,0.126,0,Illinois,Cook County,1314,1,57448.0,0.08143074581430745,0.4490106544901065,0.06621004566210045,0.00989345509893455,0.0,0.00989345509893455,0.8736681887366818,0.222,0.0129
17031243000,0.052000000000000005,0,Illinois,Cook County,2204,1,85774.0,0.06170598911070781,0.7209618874773139,0.03402903811252268,0.034936479128856626,0.00045372050816696913,0.0009074410163339383,0.35163339382940106,0.071,0.0
17031630200,0.099,1,Illinois,Cook County,1931,1,46389.0,0.04298291040911445,0.446918694976696,0.019161056447436563,0.014500258933195235,0.0,0.0020714655618850335,0.8881408596582082,0.264,0.0
